G4,1,SFB,SBN,07:14:00,09:59:00
UA,1,JHW,BFD,19:59:00,20:35:00
AS,1,EAT,SEA,14:56:00,15:42:00
UA,2,OKC,IAH,21:41:00,23:18:00
UA,3,DSM,EWR,22:20:00,01:20:00
UA,4,FLL,IAD,20:40:00,23:36:00
DL,1,DTW,LAN,19:57:00,20:39:00
NK,1,MYR,IAG,11:42:00,14:01:00
AS,2,PBI,ATL,22:39:00,00:37:00
AA,1,CMH,CLT,11:08:00,12:37:00
WN,1,SAN,SMF,21:36:00,23:25:00
DL,2,IND,SLC,09:59:00,13:54:00
WN,2,EWR,PHX,10:38:00,16:16:00
DL,3,ATL,MLU,07:16:00,08:59:00
AA,2,LGA,PIT,18:21:00,19:46:00
WN,3,BWI,ORF,16:10:00,17:07:00
DL,4,SLC,COS,14:58:00,16:35:00
AS,3,FAT,PDX,10:27:00,12:43:00
AA,3,DFW,BRO,08:52:00,10:40:00
DL,5,SLC,EWR,16:03:00,21:27:00
UA,5,BFL,DEN,14:46:00,17:39:00
WN,4,TPA,HOU,10:00:00,12:38:00
AA,4,SEA,SMF,10:23:00,12:34:00
AA,5,BOS,LGA,19:19:00,20:19:00
AS,4,SEA,DCA,14:26:00,20:34:00
DL,6,AVP,ATL,15:04:00,17:32:00
UA,6,ORD,TYS,14:55:00,16:43:00
DL,7,DTW,MLI,11:04:00,12:37:00
DL,8,MSP,BOS,11:40:00,14:49:00
AS,5,SEA,MFR,14:59:00,16:26:00
DL,9,ATL,CHS,06:30:00,07:43:00
US,1,TUS,DFW,06:09:00,08:55:00
WN,5,PHX,OMA,14:24:00,17:20:00
UA,7,EWR,CLE,10:40:00,12:18:00
B6,1,JFK,SEA,14:54:00,21:32:00
WN,6,TUL,PHX,14:40:00,17:25:00
WN,7,ECP,BNA,09:24:00,10:58:00
UA,8,MLU,IAH,16:09:00,17:22:00
AA,6,TYS,DCA,16:10:00,17:54:00
WN,8,SNA,LAS,22:22:00,23:29:00
AA,7,PHL,MCO,17:50:00,20:41:00
AA,8,CLT,TLH,11:56:00,13:29:00
NK,2,BWI,MYR,10:14:00,11:51:00
AA,9,LAS,DCA,21:41:00,03:09:00
UA,9,IAD,LAS,09:19:00,14:47:00
VX,1,LAX,BOS,22:30:00,05:33:00
G4,2,SFB,LIT,07:16:00,09:56:00
UA,10,CLE,LAX,18:56:00,00:38:00
B6,2,SWF,FLL,22:34:00,01:46:00
WN,9,ABQ,OAK,07:29:00,10:21:00
AA,10,CLT,SLC,08:57:00,13:43:00
WN,10,MDW,TUL,18:47:00,20:53:00
AA,11,IND,PHL,18:17:00,20:24:00
UA,11,LRD,IAH,07:58:00,09:17:00
DL,10,PSP,SFO,15:21:00,17:03:00
DL,11,BUF,JFK,14:01:00,15:19:00
WN,11,ROC,BWI,21:07:00,22:24:00
DL,12,CVG,RSW,15:29:00,18:24:00
UA,12,MCO,GNV,07:20:00,08:07:00
AS,6,SEA,ONT,14:59:00,17:49:00
F9,1,TTN,DTW,06:25:00,08:12:00
UA,13,PSP,IAH,14:15:00,17:47:00
UA,14,IAH,SAT,09:13:00,10:13:00
WN,12,CLT,MDW,11:32:00,13:36:00
WN,13,LAS,DSM,20:00:00,23:28:00
DL,13,ATL,CHO,13:23:00,15:10:00
DL,14,ATL,OMA,21:39:00,00:27:00
DL,15,BNA,SLC,08:17:00,12:05:00
DL,16,CHA,DTW,21:57:00,23:48:00
WN,14,PIT,MCO,06:16:00,09:03:00
VX,2,ATL,BOS,14:38:00,17:24:00
UA,15,IAD,FLL,12:53:00,15:35:00
WN,15,PVD,MDW,13:52:00,16:41:00
WN,16,DEN,OAK,12:25:00,15:11:00
DL,17,ORD,MEM,17:57:00,19:47:00
UA,16,ORD,EAU,20:47:00,22:01:00
DL,18,FAY,ATL,19:04:00,20:30:00
WN,17,SAT,DEN,09:02:00,11:43:00
WN,18,BWI,LAS,16:36:00,22:11:00
B6,3,BUF,JFK,22:11:00,23:30:00
G4,3,LAS,RAP,11:09:00,13:54:00
DL,19,RIC,CVG,20:05:00,21:44:00
F9,2,DEN,FAT,16:46:00,19:36:00
DL,20,JFK,SEA,14:45:00,21:18:00
AA,12,BWI,MIA,09:44:00,12:28:00
AA,13,BNA,PHL,22:41:00,01:03:00
US,2,PHL,ORD,20:56:00,23:19:00
B6,4,JFK,DEN,19:55:00,00:26:00
DL,21,MSP,MSY,11:31:00,14:34:00
DL,22,ATL,MSN,08:58:00,11:26:00
US,3,MIA,CVG,21:16:00,00:09:00
NK,3,MYR,ACY,19:48:00,21:37:00
US,4,TLH,DCA,19:46:00,22:16:00
US,5,ORD,ELP,08:13:00,11:46:00
AA,14,CVG,MIA,20:46:00,23:31:00
UA,17,IAH,RSW,09:24:00,12:12:00
DL,23,SFO,ATL,10:45:00,16:22:00
WN,19,MAF,HOU,11:01:00,12:43:00
US,6,CLT,LGA,08:06:00,10:07:00
UA,18,BFL,IAH,08:11:00,12:10:00
UA,19,CLE,RIC,17:40:00,19:12:00
WN,20,BWI,BNA,10:09:00,12:18:00
AA,15,TLH,MIA,21:18:00,22:52:00
AA,16,PIT,RDU,22:32:00,23:58:00
NK,4,RSW,ACY,20:27:00,23:25:00
NK,5,CRW,MYR,12:42:00,14:13:00
G4,4,PSP,BLI,06:24:00,09:26:00
AA,17,ALO,ORD,08:12:00,09:19:00
UA,20,BTV,EWR,18:04:00,19:18:00
AA,18,CLT,ORF,16:57:00,18:15:00
B6,5,PBI,HPN,06:27:00,09:34:00
WN,21,BWI,ECP,08:47:00,11:26:00
DL,24,MKE,LGA,16:45:00,19:14:00
DL,25,CVG,DTW,12:34:00,13:42:00
WN,22,MKE,MSY,11:22:00,14:05:00
WN,23,BWI,ROC,18:47:00,20:04:00
AS,7,PDX,SJC,10:17:00,12:20:00
B6,6,HOU,BOS,12:36:00,17:05:00
G4,5,MLI,SFB,06:06:00,09:05:00
AA,19,GJT,DFW,16:51:00,19:29:00
G4,6,HTS,SFB,17:34:00,19:52:00
DL,26,ATL,FAR,08:51:00,12:02:00
AA,20,CLT,CHO,17:39:00,18:50:00
UA,21,BWI,SFO,08:35:00,15:00:00
DL,27,JAX,CVG,17:35:00,19:50:00
WN,24,PIT,RSW,16:45:00,19:34:00
AS,8,HNL,PDX,20:15:00,03:02:00
AA,21,DFW,DRO,19:00:00,21:24:00
WN,25,TPA,EYW,22:14:00,23:25:00
WN,26,MSY,EWR,13:26:00,16:49:00
WN,27,IND,RSW,07:37:00,10:26:00
US,7,PIT,DCA,11:22:00,12:24:00
WN,28,HOU,MCO,21:55:00,00:40:00
DL,28,ATL,AVL,14:19:00,15:15:00
DL,29,LGA,MSY,18:49:00,22:09:00
DL,30,ALB,ATL,09:26:00,12:17:00
US,8,BHM,DCA,09:45:00,12:00:00
DL,31,PSC,SLC,07:31:00,09:27:00
DL,32,LGA,CHS,13:04:00,15:17:00
WN,29,ABQ,HOU,22:07:00,00:43:00
US,9,CLT,TRI,09:42:00,10:31:00
NK,6,RSW,ACY,15:35:00,18:26:00
AA,22,PHX,ANC,18:02:00,00:44:00
WN,30,LAS,SAT,07:09:00,10:11:00
US,10,MIA,JFK,17:15:00,20:27:00
G4,7,LAS,MOT,06:37:00,09:46:00
DL,33,TUS,ATL,14:36:00,18:52:00
DL,34,DTW,CHS,08:32:00,10:52:00
DL,35,JFK,BOS,22:22:00,23:22:00
UA,22,CLE,SDF,11:40:00,13:01:00
UA,23,DEN,PDX,13:31:00,16:22:00
DL,36,BNA,JFK,22:29:00,01:07:00
UA,24,ORD,BTV,22:20:00,00:52:00
DL,37,ATL,SHV,20:52:00,22:51:00
AS,9,COS,SEA,07:56:00,11:02:00
US,11,ABE,CLT,08:42:00,10:34:00
DL,38,RDU,CVG,13:28:00,15:00:00
US,12,PHL,MIA,21:36:00,00:34:00
DL,39,PHF,ATL,20:28:00,22:24:00
DL,40,CLE,DTW,11:40:00,12:25:00
B6,7,TPA,BDL,14:01:00,17:12:00
AS,10,PDX,RDM,07:27:00,08:16:00
UA,25,FLL,CLE,06:56:00,09:57:00
WN,31,FLL,HOU,08:40:00,11:29:00
WN,32,PHL,ATL,06:33:00,08:56:00
AA,23,MIA,GNV,22:22:00,23:40:00
AA,24,AVP,PHL,20:24:00,21:10:00
UA,26,CLE,PKB,15:21:00,16:14:00
US,13,BMI,DFW,10:41:00,13:07:00
WN,33,LAS,ALB,09:31:00,15:34:00
UA,27,SFO,MSY,09:34:00,14:41:00
US,14,SAT,CLT,17:26:00,20:39:00
AA,25,TLH,CLT,22:47:00,00:21:00
AS,11,SBA,PDX,19:40:00,22:20:00
DL,41,SHV,ATL,20:31:00,22:32:00
UA,28,IAD,DAY,11:58:00,13:28:00
DL,42,MCO,GRR,07:10:00,10:15:00
US,15,ORD,TOL,09:29:00,10:35:00
UA,29,JST,AOO,10:18:00,10:52:00
WN,34,BNA,BWI,09:47:00,11:51:00
B6,8,BOS,PHL,18:51:00,20:08:00
US,16,DFW,TPA,14:07:00,17:06:00
DL,43,AVL,DTW,20:09:00,21:55:00
WN,35,PHL,BNA,11:33:00,13:52:00
WN,36,MSP,MCI,13:39:00,15:12:00
AA,26,ORD,LSE,07:37:00,08:41:00
WN,37,PDX,SMF,16:04:00,17:52:00
US,17,DSM,PHX,19:29:00,22:44:00
US,18,SYR,DCA,22:57:00,00:14:00
DL,44,FAR,MSP,15:08:00,16:13:00
G4,8,SFB,LAN,06:29:00,09:22:00
DL,45,ATL,BHM,12:49:00,13:41:00
UA,30,IAH,PHX,20:47:00,23:46:00
UA,31,DEN,PIA,16:43:00,19:27:00
WN,38,MDW,ONT,08:06:00,12:52:00
AA,27,SJT,DFW,06:45:00,07:51:00
VX,3,ATL,DTW,10:56:00,13:04:00
WN,39,PIT,FLL,16:09:00,19:02:00
DL,46,HSV,DTW,10:57:00,12:57:00
DL,47,SLC,EUG,10:31:00,12:41:00
UA,32,DEN,ELP,07:19:00,09:20:00
UA,33,EWR,BTV,12:13:00,13:27:00
US,19,CLT,CHS,09:00:00,09:57:00
WN,40,HOU,SNA,14:49:00,18:35:00
F9,3,TTN,CLE,21:56:00,23:27:00
AS,12,PDX,FAT,16:06:00,18:21:00
DL,48,MCO,CVG,22:23:00,00:58:00
US,20,BGR,DCA,10:29:00,12:34:00
F9,4,PIR,ATY,06:06:00,07:01:00
AA,28,SYR,ORD,10:40:00,12:47:00
DL,49,CLE,DTW,14:16:00,15:01:00
UA,34,MCO,FLL,09:44:00,10:43:00
DL,50,EVV,DTW,10:11:00,11:39:00
US,21,TYR,DFW,18:07:00,18:53:00
UA,35,CIC,SFO,20:18:00,21:12:00
G4,9,FLL,AVL,06:12:00,08:32:00
AA,29,SFO,DFW,07:43:00,11:45:00
US,22,CMH,LGA,11:02:00,12:49:00
WN,41,ISP,BWI,07:08:00,08:14:00
WN,42,ALB,TPA,19:44:00,23:01:00
UA,36,MKE,EWR,12:13:00,14:45:00
DL,51,SLC,TUL,16:36:00,19:33:00
AS,13,ATL,SEA,16:01:00,22:04:00
UA,37,SJC,IAH,18:18:00,22:43:00
B6,9,SWF,FLL,15:14:00,18:32:00
UA,38,IAD,CHS,07:59:00,09:43:00
AA,30,CMH,MIA,10:38:00,13:28:00
F9,5,TYS,DEN,18:38:00,21:57:00
US,23,MCO,PHL,08:21:00,11:16:00
DL,52,CHA,ATL,12:40:00,13:27:00
UA,39,DEN,MFR,12:22:00,15:11:00
UA,40,JAX,TPA,22:06:00,23:06:00
UA,41,MCI,IAH,14:46:00,17:06:00
UA,42,EWR,AUS,21:52:00,02:01:00
DL,53,FNT,ATL,19:33:00,21:50:00
WN,43,SAT,MDW,06:57:00,10:02:00
US,24,LGA,ORF,22:34:00,23:52:00
DL,54,GTF,SLC,21:36:00,23:23:00
AA,31,PHX,CMH,21:38:00,02:16:00
DL,55,GSP,LGA,07:11:00,09:24:00
B6,10,LAS,BOS,20:58:00,03:12:00
DL,56,SLC,MCI,21:29:00,00:12:00
UA,43,CHS,ORD,07:18:00,09:53:00
WN,44,BHM,DAL,12:07:00,14:12:00
AA,32,IND,ORD,22:31:00,23:30:00
AA,33,CLT,SDF,14:54:00,16:17:00
G4,10,CID,LAS,13:56:00,17:43:00
WN,45,MKE,RSW,06:57:00,10:22:00
AA,34,CLT,MOB,22:46:00,00:43:00
US,25,ORD,CHA,07:29:00,09:23:00
AS,14,BOS,SAN,19:57:00,02:51:00
WN,46,OAK,SAN,08:17:00,10:03:00
AS,15,SEA,RDM,11:53:00,13:00:00
DL,57,CMH,MCO,10:06:00,12:49:00
WN,47,DAL,ICT,12:28:00,13:55:00
DL,58,TLH,ATL,18:25:00,19:32:00
DL,59,SLC,HLN,22:31:00,00:09:00
UA,44,ISN,DEN,17:52:00,19:57:00
UA,45,BOS,IAH,14:40:00,19:00:00
AA,35,ELP,DFW,07:43:00,09:45:00
UA,46,CVG,IAD,15:23:00,16:55:00
DL,60,ATL,ABQ,21:39:00,01:08:00
DL,61,CLT,ATL,19:00:00,20:08:00
US,26,BGM,PHL,10:22:00,11:19:00
B6,11,BOS,SAV,22:56:00,01:55:00
US,27,SBP,PHX,10:53:00,12:45:00
UA,47,ORF,EWR,16:57:00,18:13:00
WN,48,DAL,HOU,14:52:00,16:01:00
DL,62,MSP,PHX,11:55:00,15:28:00
WN,49,CMH,PHX,22:29:00,02:58:00
NK,7,CRW,MYR,21:09:00,22:37:00
AS,16,PUW,LWS,14:01:00,14:35:00
AA,36,DFW,AEX,22:39:00,23:55:00
F9,6,DEN,ATL,10:42:00,14:02:00
AA,37,SFO,SEA,20:53:00,23:11:00
WN,50,BDL,TPA,11:01:00,14:17:00
AA,38,MIA,MSY,13:48:00,16:09:00
US,28,MIA,ORD,21:17:00,00:46:00
UA,48,IAH,SNA,11:10:00,14:52:00
WN,51,FLL,ALB,12:36:00,15:59:00
US,29,MIA,MSY,20:45:00,23:06:00
UA,49,EWR,SFO,13:46:00,20:47:00
UA,50,HNL,ORD,18:21:00,05:34:00
US,30,DFW,COU,07:32:00,09:24:00
VX,4,LAS,JFK,13:55:00,19:46:00
VX,5,MSY,JFK,22:22:00,01:45:00
UA,51,HNL,EWR,15:42:00,04:30:00
AA,39,TUS,PHX,11:52:00,12:40:00
AA,40,MIA,TLH,20:48:00,22:25:00
WN,52,MDW,SMF,07:19:00,12:17:00
US,31,ORD,LSE,21:24:00,22:30:00
AA,41,ABE,PHL,21:01:00,21:39:00
WN,53,AUS,DCA,21:21:00,00:59:00
UA,52,PHX,SFO,09:10:00,11:25:00
DL,63,CVG,LGA,13:35:00,15:42:00
WN,54,RSW,PVD,22:51:00,02:19:00
UA,53,ACY,IAH,08:04:00,11:54:00
AS,17,MSO,SEA,13:17:00,14:50:00
G4,11,FLL,GSP,22:47:00,01:00:00
